comment, channel
"I agree Sean you know the funny part of it everything you listed we had until somebody sold us out to a criminal named Biden", FOX
"Duecy 👎🏼", FOX
"&quot;That dry heat thing is really awful in the summer.&quot; Really? As opposed to oppressive humidity?", FOX
"All these Republican governors are pretty good except for that Doug Douchey from Arizona, just a RINO in disguise.", FOX
"In GOD we trust. Truth will set you free.", FOX
"To Hannity... You must start holding these town halls every month please for the people by the people", FOX
"Thank You Governors for your great leadership!   A great point made by Mr. Hannity, New York City would have literally Died if other states (IA, SD, NH, etc.) followed suit and shut down their business - food processing, packaging, trucking, energy supply, etc.   Thank God some of our leaders have a brain and the backbone to follow wisdom and not the lies, Cuomobia and Cuommunism!!", FOX
"I’m sorry but what you’re saying is gone! We are going down like a whirlwind. Biden is literally destroying us! Unless we get a conservator in we’re done", FOX
"Why was there no epidemic in Russia? The answer is simple, Russian airspace control works, Russian national security law also works, any civil servant at any level who joins the foreign nation to harm or cause any damage to their own countrymen is considered high treason to the motherland, the traitors sold to the enemy, do not even live long enough to receive payment from the foreign nation for their act of treason, any of the governors or mayors who brought Tchinian spies to fabricate and pulverize the epidemic did not survive", FOX
"Sununu took out a key part of a bill going against CRT, fundementally saying , we CAN teach our children that America is racist. So he can go F*** off.", FOX
"The governor of Georgia is corrupt.", FOX
"We have the vaccines because Pres Trump knows how to get things done. Nobody becomes a self made billionaire by sitting around waiting for things to just happen.", FOX
"I think @<a href='https://www.youtube.com/watch?v=eVMEjZy65GU&amp;t=5m00s'>5:00</a> he meant there aren&#39;t any masks required.", FOX
"SIPPY CUP HAHAHAHAHAHAHA HANNITY EVERYTIME YOU SAY IT , ITS SOOOOO FUNNY LOL", FOX
"Find the dirt and expose the facts.", FOX
"When God-fearing Republican Patriots retake political control of this great nation (coming soon!), we need to completely eliminate the failed evil legislation, executive orders, policies, programs and teachings of the far-left &quot;progressive&quot; socialists and communists.  Not just scale them back or trim them back which has been tolerated far too often.  But rip them out by the root and get rid of them entirely.", FOX
"Moved from Seattle to TX.  My politics converted a year after Trump became president.  I saw the writing on the wall and the Democrats lied - over just about everything.  I had enough.  The dream died in Seattle,  but it now flourishes for me and my family in Texas.   That was some challenging years, but we came out better in the end.  A lot better.", FOX
"I agree with everything you are talking about Sean! Love these Governors!", FOX
"They kicked out my pillow guy mike lindell", FOX
"NH represent!!!!  Constitution trumps all!!!", FOX
"Why did they uninvite mypillow Mike?", FOX
"bye bye globalists...hope to never see you anytime soon", FOX
"In my opinion, Governor Lee was a slow starter, even though I voted for him. He was still trying to figure out the job, and I can only imagine how difficult running an entire State must be. But he&#39;s figured it out and become a strong Governor and I will happily vote for him again. People need to remember that we are a Republic of Sovereign States and if we support our States and Governors first, we can keep federal encroachment at bay. Governor Lee, I don&#39;t know if you&#39;ll ever read this or not but if you ever come to Blount County, I would consider it an honor to buy you dinner, Sir.", FOX
"Sorry guys.... But Kristi with the pink dress? Is where I&#39;m moving to... You can&#39;t blame me when her brain over powers her pink dress... Lots of love", FOX
"I&#39;m a conservatist ok...but goddam we need to stop with the name-calling and always bashing the left...ever heard of not punching down???", FOX
"I wish our governor was not a deep state dictator", FOX
"Democrats rely on dumb people to stay in power. So it makes sense to them to keep their already bad schools closed and kids out of them to ensure that they can have the next generation of dumber people.", FOX
"Dear Hannity: Is Jbiden on the way of being impeached?!? Because of his lying about his son, Hunter scandal growing?? Anyway! As for me, I n team are praying our God will save the Biden family from Satan&#39;s s deception n sinful pride! Read Matthew 5:44; James 4:7 truths! Reply me for simple strategy of God that worked...", FOX
"Good job Ron. You make this Canadian want to move to Florida lol", FOX
"Doug Ducey from AZ &amp; Brian Kemp from GA are RINO’s and are a horrible DISGRACE .. both need to be recalled. Both the  Arizona-&amp;-Georgia citizens need to FIRE them both … as they have been sadly working for their own compromised agendas..! Awful !", FOX
"CNN IS GETTING JEALOUS !!!", FOX
"Everything&#39;s fine and dandy... except for those vaxx&#39;s.", FOX
"I saw this when it came on and when I saw Deucy I turned the channel. Also these are the same Govs who invited Lindell and then uninvited him just hours before the start after he had made the trip and checked into his room. These govs better do a better job by We The People are they will be looking for another line of work.", FOX
"Hamilton County schools continue to shamelessly force their kids to wear masks all day long at school. Gov. Bill Lee is a great governor and he did give schools the choice to mask or not but they have chosen to force those masks even though the mandate is over and I think it is a disgrace. Shame on those parents for going along with masking their kids all day long at school. I live 20 minutes north of Chattanooga TN", FOX
"Wow a bunch of idiots", FOX
"Yipee.", FOX
"Thanks, Sean!", FOX
"Proud to be an Iowan. Gov Reynolds rocks!", FOX
"Defund the fed.", FOX
"Not a mention concerning Ducey and Kemp kicking Mr. Lindell out of this farce of a meeting!  Hannity is on his way out and people are realizing he does nothing but suck up to the swamp rats!", FOX
"One of the many many many things i try to understand is, WHY was I supposed to be afraid of Covid 19?", FOX
"God bless you all! 🙏🇺🇸🙏", FOX
"One reason to move to the south  is its so beautiful", FOX
"I would rather have Elmer Fudd as governor of California.", FOX
"CNN - Cunts News Network.", FOX
"It really bothers me that China has crushed so many  American businesses, and now Joe Biden will send them what jobs that are here.", FOX
"Amazing", FOX
"The Powerless Republicans are a joke.", FOX
"hannity so lame with his cia pin... controlled op is all he is.", FOX
"Statesmen/women not politicians. <br>Statesmen/women should know how to pay for what they propose.", FOX
"Do you spend much time in NH? I’m not impressed with how psychotic they were about masks and taking temps at stores even last week. I live in VT on the NH border and shop in NH all the time and I have never been hassled about not wearing a mask in VT and I had police called on me LAST WEEK for not wearing a mask in toy store in MH", FOX
"ESPN Article. March 29, 2021: “South Dakota Gov. Kristi Noem on Monday killed a bill that would have banned transgender women and girls from female sports, then later issued weaker executive orders that include restrictions but which conservatives decried as political face-saving.”  No way which she gets my vote. (And hopefully not yours)", FOX
"They are moving to these states because the Governors gave 0 percent Property taxes for 20 years, no sales taxes, and breaks on building for enormous companies and they are moving their personal and employees to the states.  California did this for a while and look at them.  The living cost in Arizona went up like 50 percent thanks to Ducey&#39;s policies.  It&#39;s all gaslighting.  Propaganda.  RINO&#39;s most of them.", FOX
"Ron DeSantis would be an excellent choice for the 2024 Presidential Run!", FOX
"I love all these true AMERICAN  PATRIOT governors ,&amp; their will to uphold liberty !!!!", FOX
"Wow with all due respect, South Dakota has Wonder woman for a governor? who wouldn&#39;t want to move their she&#39;s gorgeous and extremely smart, 😎", FOX
"Unfortunately England is like one BiG Democratic state and we follow mad, Ferguson-led science. Famous for our class-riddled society, we now have another: the mask-wearing, virtue-signalling vaccinated, stride through our streets, glaring at those without masks. Scotland, Wales and Northern Ireland are faring little better.", FOX
"Wheres the rest of the countrys Gov with a back bone?", FOX
"Those are democrat socialist gov.", FOX
"Biden is like the kid that runs to the wrong basket and scores two points for the opposing team.", FOX
"All the Governors including Ducey of Arizona and Kemp of Georgia need to get to the bottom of the 2020 Election and the origin of the China Virus otherwise you all are not worth a dime and have let the people down.", FOX
"One of the best Town Hall Meetings I ever had the pleasure to listen too. u", FOX
"I thought the Juilliard was in New York. So its in the music city .", FOX
"Mr Hannity can someone answer why Mike Lindell was invited and then turned away from this event please.", FOX
"This is a wise lady ! sD you are so fortunate", FOX
"Making sure that the billionaires and big corporations pay their FAIR share of taxes as everybody else does, and helping the poor and the middle class is not socialism. It is the right thing, the humane, the Christian thing to do.", FOX
"I really enjoyed this!!", FOX
"Lady in pink...whoa", FOX
"The reason it was studied in Wuhan China was it was deemed illegal in the United States..... OBAMA STARTED THE LAW ILLEGALLY TO HAVE A WEAPON.... THESE PEOPLE ARE SICK", FOX
"3. 7 million dollars went to Wuhan China under Obama. Funneled through the National Health Institute. To study the bat coronavirus in Wuhan China. And the virologist that went along was dr. Fauci he&#39;s the one that make it jump from bat to humans. These people owned a weapon and they released it in an election cycle they knew they couldn&#39;t win to push fraudulent mail in ballots. Because the Dominion software couldn&#39;t cheat more than 25% in Trump won by a landslide. So they had to bring in the mail in ballots in the middle of the night to change the election status and chief the election. Plain and simple", FOX
"God Bless America 🇺🇸 🙏", FOX
"The only way that they make a power grab is if we don’t completely wipe them out first! And I mean complete annihilation!", FOX
"Quite frankly the federal government should be dissolved other than the armed forces and let the states run themselves. If a state can&#39;t hack it it should be absorbed into the surrounding states. Just like when a business can&#39;t survive it should go bye bye instead of being bailed out.", FOX
"Democrats are nazis.", FOX
"Soon blue states will just be shyt holes where only scum resides.", FOX
"Don&#39;t fall this gaslighting.  Republicans that are speaking today have abandoned American First and are cheerleaders for Corporate Socialism. Socialism for the Rich and Corporations and Rugged individualism for the middle class and poor.  Ducey wants to Run for senate after he put in a candidate twice that had no personality.   This is all a distraction when none but Santis and North Dakota even stood up against this scam handling of Covid.  Can&#39;t vote for Ducey for his now running for Senate.   Rather lose the seat and have shams.", FOX
"What is gov Abbott", FOX
"Governor DeSantis is a total GOAT!! We love him here in Florida!!❤❤", FOX
"Well done", FOX
"The imaginary grasshopper evolutionarily offend because wren gradually telephone next a dapper veil. unsightly, shallow detail", FOX
"The left denies what common sense dictates.  They are blind in one eye and can&#39;t see out of the other!", FOX
"Ducey is 100% criminal.", FOX
"Protect your states, get involved in local and state elections🚨🚨<br><br>Do not let your states fall under the blue banner like Virginia did🚨🚨", FOX
"All Sununu cares about is buiseness&#39;s not the residents of the state . Most of the money NH Recieved went to his buiseness buddy&#39;s.", FOX
"Too bad their were afraid of the Pillow Guy....losers🎶🎶🎵🎵 L on ur forehead", FOX
"Great interview Fox News! <br>I can whole heartedly say I believe these governors are true and just.  <br>Just by the way they talk and carry themselves shows me they are honorable and fair people. IMO <br>They give me a good feeling hearing and watching them. 🥰🇺🇸", FOX
"SO VERY PROUD OF MY GOVERNOR - DESANTIS IS THE BEST!", FOX
"Its not politics its childish behavior this adults are acting like democrats dont want to pick up the policies or solutions cause republicans are the ones that thought of them how childish is that", FOX
"<a href='https://www.youtube.com/watch?v=eVMEjZy65GU&amp;t=7m00s'>7:00</a> How can vanity drenched people like this serve the people honestly and wholeheartedly", FOX
"Hell Yea Tennessee", FOX
"Definition of a conservative is a liberal that has been mugged", FOX
"Kristi Noem for President! Wouldn&#39;t that be great? The people first, with government staying out of our business, encouraging growth, self-reliance and freedom, and letting us live our lives freely. I was trying to figure out how to get out of Commiefornia and move back to America. I have now made up my mind to become a productive resident of South Dakota. Don&#39;t worry, I won&#39;t be bringing idiotic liberal BS with me, I&#39;m a Republican, conservative, retired US Marine that knows there are only two genders and the Earth is spherical. America first!", FOX
"Trust the science LOL. Look up MIS-C conservatives have done a 180 on covid. The CDC can&#39;t even keep there info straight. Over reacting is just as bad as Not reacting. God help us.", FOX
"Republican are so much more positive than democrats", FOX
"Great discussion 👍🏻", FOX
"GRA did not allow Lindell attend !!!!!<br>Stunning...<br>Ducey is a rino!!!", FOX
"I haven&#39;t seen smart tv in a while...I thought it was extinct", FOX
"Right Will Always have the Upper hand!! It&#39;s Bad that democrats Choose to be and live Ungodly and want the world to follow but that will Not happen!!", FOX
"He never really answered the question, &quot;What would you do differently this time?&quot; Suggestions: Root out the Justice Dept. Appoint an AG who will have your back and share the same ideals. Make sure the House Leader is on the same page. Bring Hillary to justice. Break up the tech companies. Ensure level playing field for conservatives. Etc etc", FOX
"3 LOSERS in one video!<br>Fox News, Hannity, and Rump! 😆<br>All your missing is Rudy, Tucker Carlson, and Dan Bongino. 🤣", FOX
"TRUMP - 2024 , please run again , we need you to save America from the democ--RAT scum.", FOX
"Whether you support him or not, one thing is crystal clear, during the presidency of Mr. Trump not a single war was started. As a non-American I honor that. Plus, Mr. Trump is not, unlike so many prominent Westerners, a hater of Slavic peoples. I also like that. On the other hand, I don&#39;t like capitalism, but there&#39;s evil and there&#39;s evil. <br>I hope I&#39;ll leave this comment, because I deleted so many similar ones because I didn&#39;t want to be bothered by persons without a life and bots. My conscience prompted me to leave  this comment.. <br>Have a nice day everyone (except sociopaths and psychopaths, obviously). 🕉", FOX
"Excellent  really well done interview.", FOX
"PEACE  IS GOLD   Never fight with people we don&#39;t need to fight !!  TRUMP IS RIGHT!!!", FOX
"2024  he needs to pardon some of those people who got arrested for marching on Congress..But tell them they must stand down..", FOX
"Can Sean go 3 seconds without interrupting?", FOX
"Greatest President United States could&#39;ve hoped for. He stood up as first against China, brought peace to middle east, strengthen economy, increased border security. Big Tech is silencing  people who support mr. President, because he&#39;s a threat to their money making, and influence over government. Democrats are corrupted to it&#39;s core. It&#39;s never been that bad. Trump is going to win big time!!! 🇵🇱🇺🇲<br><br>[ Please silicon valley overlords, don&#39;t delete my account again I&#39;m secretly a lefty agent 🤞😶 ]", FOX
"Mitch is from Kentuckey?   is there any chance we can sell Kentucky to canada?", FOX
"👍👍👍👍👍👍👍", FOX
"You can&#39;t run for office when your in jail!", FOX
"I&#39;m satisfied with what he&#39;s done in foreign policy especially Israel/Gaza.", FOX
"AMERICA&#39;S DEAD.... NOT COMING BACK.   TEXAS MUST SECEDE NOW", FOX
"Signature Donald Trump move.  <a href='https://www.youtube.com/watch?v=FHr8KCSnE7w&amp;t=00m21s'>00:21</a>", FOX
"DEMS are hoping hoping hoping the orange fatman will run, and the GOP are hoping hoping hoping the justice system will lock diaper don up.", FOX
"Absolutely!!!!!🇺🇸👮‍♂️🥇👍🤟⚡️🥊💥", FOX
"Greatest President ever!", FOX
"We support you Mr. President ....u were awsome 🙏🇮🇳", FOX
"Trump is the only president that didn&#39;t brought a new war into this world in my lifetime. we need to wake up and draw our own conclusions before we trust the media.", FOX
"Trump you are a good President!!💖", FOX
"The Real President speaks! Bring him Back!", FOX
"He&#39;s going to jail bye. 😆", FOX
"I don&#39;t know why they didn&#39;t have the full interview.", FOX
"We need u now  not 2024", FOX
"Hell yeah I&#39;m trump supporter and I don&#39;t care who don&#39;t like him!!!!", FOX
"We miss you Trump from INDIA", FOX
"trump is a idiot FASD thinks he know everything about everything but he is just a sick nobody hes broke put him in jail", FOX
"I really like Hannity but Trump may not be his best, he seem s a little hard to interview. Ya really just have to let him talk sometimes LOL", FOX
"So proud of President Trump. He always was helping people. I Thank him for all he did. I miss my President.", FOX
"Trump the greatest president ever 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸", FOX
"Its a grift for money!   He won&#39;t be able to run in 2024!  NYC DA has now announced Grand Jury Criminal Trial for tRump!", FOX
"I miss my President Trump.  He is the best.", FOX
"President with balls ! Trump 2024", FOX
"Anything but that", FOX
"Cant wait to see Trump in JAIL...........", FOX
"Trump he was the Greatest", FOX
"is this for real????? God help us", FOX
"Donald Trump was robbed by evil democrats.. Trump will always be President", FOX
"THE TRUTH", FOX
"F", FOX
"At least Trump could talk right", FOX
"I still remember dems like “he’s making deals with Russia etc... “ Yeah, so what? Like trump said.. getting along with foreign countries is a good thing lol.. thinking otherwise means you’ve let main stream media brainwash you", FOX
"Helping people?! He was only interested in helping HIMSELF. Trump is a compulsive liar - do your research people… he literally stole from everyone who donated to him during his fundraising in this past presidential election.", FOX
"Thank You", FOX
"Brooo he&#39;s sooo doesn&#39;t want to run but no one seems to care. Not the left, not the right. Not his supporters. Not fox, CNN, TYT.<br><br>Everyone of you need better understanding skills.<br>The hegelian dialect is controlling your lives. 🤦🏾‍♂️<br>Wake up", FOX
"I guess I shouldn’t share this but I’m going to go, he still the president.", FOX
"<b>Trump/Hannity for Prison 2O21 !!!!!!!🔒⚖️</b>", FOX
"Wow! Dang!!", FOX
"Two disgraces in one interview. Hannity and Trump.", FOX
"Lord, your David is here stating he is ready, Blow the TRUMPet and Make America Great Again! God Bless America, And thank you for anointing President Trump, now on to do God&#39;s Plan and Will for this Nation and the World. God bless, Love ALL, Lead ALL", FOX
"Yes Please my President Donald Trump 🙏🙌❤come back!!!!!", FOX
"Hail Republicans. Hail Trump. Donald Trump again for White House in 2024. We support Trump for US Presidency in 2024.", FOX
"I believe President Trump will have the challenge no one in presidency had to encounter before just like the pandemic. I just hope the US can rise above the damage. I will never understand why unemployed don&#39;t need to seek a job. Help fill the shelves or volunteer.", FOX
"Liberals destroying everything fast enough ,maybe no need to come back", FOX
"Best President America has ever had. Another 6 months of the Biden administration they will be begging him to come back. America is circling the drain.", FOX
"I respect and voted for him twice.<br>Didn&#39;t take a paycheck for the whole term.<br>Yes we need him back.", FOX
"I&#39;m sure that sellout Hannity doesn&#39;t care, but do any patriotic Americans really want to see Trump, the traitor who doesn&#39;t care about our Constitution, rule of law, or our political system, back in the white house?  First tell me why you think Trump isn&#39;t a traitor for attempting to overthrow our government on January 6th.", FOX
"Trump found his gold egg goose in politics, now he can get money with out too much effort, just doing what he loves to do: lies, lies and nothing but lies and his short bus base will gladly send him money.", FOX
"Let&#39;s just hope they don&#39;t rig the election again like they did with sleepy joe", FOX
"i hope he isnt the republican nominee again...get candice...", FOX
"It&#39;s incomprehensible how anyone (besides enemies like China, Russia, Iran, North Korea, and etc) would prefer a piece of human waste like Biden over an American patriot like President Trump.", FOX
"Don’t ever run again! Worst president ever!", FOX
"I f you support Donald Trump your an idiot", FOX
"Hanity has joinned the trump&#39;s cult, about trump&#39;s tax cut, it was tax cut for the rich&amp;super rich not the mid or lower class. big dishonest man. he went to bankrupt several times and had his Daddy bail him out, why does he never talk about that?", FOX
"I&#39;ve experienced the other camp. They refuse my support, and even push me away.  They try to put guilt on me for just being white. Ok fine, they want to be stupid, so be it. I am now taking a harder conservative stance! If Trump runs, I will definitely vote for him, just because they are canceling a humble and meek guy like me.<br><br> 🖕 Left. I tried but you dont give a $hit.", FOX
"Media attempted to damage his reputation.", FOX
"He needs to sit down and get ready for a sentence cause he want get voted again. He&#39;s 8nsane Biden won by landslide and he still sat at white house in disbelief he needs counseling and if this didn&#39;t wake him up and fox for even having asking those questions need to be shut down they are scams like Trump deception lies and lawsuits for sexual harassment oh a lot in common", FOX
"Love this guy. But he looks burnt out. He&#39;s been tru hell that&#39;s for sure.", FOX
"We Love you Trump. From Kentucky", FOX
"TRUMP 2024!!!", FOX
"Are you going to us Dominion vote counting machine again in 2024?  You lose for sure!", FOX
"The former President before he gets his New Home?  Which home will it be?<br>FCI Otisville (Otisville, NY)<br>FCI Ray Brook (Ray Brook, NY)<br>FCI Otisville Camp (Otisville, NY)<br>MDC Brooklyn (Brooklyn, NY)<br>MCC New York (New York, NY)<br><br>Guess correct one and you May be <br>the big winner!!", FOX
"Hes not going to run in 2024 because we wont have a country left by the end of bidens dumpster fire administrations f*ck fest.", FOX
"Your Orange God being brought down by taxes. TAXES! Just like Capone...... ahhhhhhh the irony!", FOX
"47th President", FOX
"Trump Train 2024 without Covid.", FOX
"We have to get President Trump back in the White House where he belongs<br>You’ve gotta be a special kinda stupid to not love President Trump and what he’s done for OUR COUNTRY", FOX
"Trump 2024 snowflakes!", FOX
"Millions of us solid Christians prayed that this creep gold hair criminal thug would be gone after losing the election....so that is solid evidence that there is no God", FOX
"Trump man going to run not for the White House but for the Big House.  4 more years 🇨🇳", FOX
"Great interview but the only problem is I hate how hannity continues to interrupt Donald Trump at least let him finish what he&#39;s saying!!!!", FOX
"Absolutely please take back the house wish it was now", FOX
"Cant be President if you are in prison", FOX
"Joe Biden is your president now. We’re living in the USSA. <br><br>Cope.", FOX
"Hanging around the right people and establishing relationships with good intentions in any area of life, is the key to success. I live by that!", FOX
"The former guy looks disheveled, lol", FOX
"The channel for morons by morons. Average IQ - 79. That&#39;s low.", FOX
"I’m an outsider. I’m not fan of this guy.<br>But what is that thing you brought in as the president instead of this guy! My god he is clown for sure.<br><br>You guys have no idea what is happening in your borders. When he tried to secure the borders, everyone dragged the women and children argument even though this has happened before trump. As someone who is looking at this from outside, All I can say is that it will be too late when everyone in your country understands what has been happening. <br><br>No offense to anyone, but America is getting invaded and you guys don’t even know that you are. <br><br>Trump did some bad things like handling the pandemic. But overall he was right on most things.", FOX
"Oh Trump I hope you get back in 2024 for the sake of all Americans lol. He actually really does care about America and people", FOX
"His next job is a clown!!!<br>What an idiot clown!<br>USA has left Trump era behind!!!", FOX
"I think it&#39;s annoying that trump is the only President of the United States who refused to concede. Very child-like of him. He should&#39;ve conceded like a real man. Running for President in 2024 or not... it was very immature of him to not do so. Sad. Say what you want to about other Presidents, but at least they had the decency to officially concede.", FOX
"The old-fashioned hair acceptably haunt because sentence etiologically sip given a dark stove. offbeat, known quail", FOX
"If the liberals hate him so intensely he must be doing something right!", FOX
"He has my vote no matter what", FOX
"I miss President Trump. We need him back.", FOX
"We need trump to survive America", FOX
"bidensDementia.Please!", FOX
"Each of the men and women he named are RACIST AF!!!", FOX
